order,module,dep1,dep2,tile_artifact
1,sinksfilled,,,
2,sinkroute,,,
3,dem_preproc,sinkroute,,
4,slope_aspect_curve,,,
5,tcatchment,,,
6,tca,,,
7,scatchment,sinksfilled,tcatchment,
8,twi,slope_aspect_curve,scatchment,
9,channelsnetwork,sinksfilled,tcatchment,
10,overlandflow,sinksfilled,channelsnetwork,
11,overlandflow2,sinksfilled,channelsnetwork,
12,multiresflatness,,,TRUE
13,multiresflatness2,,,TRUE
14,multiresflatness3,,,TRUE
15,tri,,,
16,convergence,,,
17,openness,,,
18,dah,,,
19,tpi,,,
20,ridgevalley,sinksfilled,,
21,mrn,sinksfilled,,
22,flowaccumulation,sinksfilled,,TRUE
23,flowaccumulation,sinksfilled,,TRUE
24,slopelength,,,
25,flowaccumulation2,,,TRUE
26,flowaccumulation3,sinksfilled,,TRUE
27,flowpathlength,sinksfilled,,
28,flowpathlength2,sinksfilled,,
29,flowpathlength3,sinksfilled,,
30,lsfactor,slope_aspect_curve,tcatchment,
31,solarrad,,,
32,convexity,sinksfilled,,TRUE
33,vertdistance,sinksfilled,channelsnetwork,
34,tci_low,vertdistance,twi,
35,swi,sinksfilled,,
36,windexp,sinksfilled,,
37,texture,sinksfilled,,
38,protection,sinksfilled,,
39,vrm,sinksfilled,,
40,mbi,sinksfilled,vertdistance,
41,mscale_tpi,sinksfilled,,
42,relposition,sinksfilled,,
43,slopecurvatures,sinksfilled,,
44,steepestslope,sinksfilled,,
45,upslopearea,sinksfilled,sinkroute,
46,sloplength,sinksfilled,,
